finding_id,route,audit_dimension,evidence_status,severity,priority,owner,observed_evidence,issue,recommended_action,acceptance_test,skill_source,requires_human_review,status,notes
06B-PA-001,/,Schema,observed,low,P2,development,未发现 application/ld+json。,当前页面没有 JSON-LD，机器只能依赖正文和链接结构理解页面实体与类型。,后续人工审核后再考虑页面级 JSON-LD 候选；本阶段不生成或写入 Schema。,后续若接入 Schema，JSON-LD 字段必须能逐项回溯到页面正文。,yao-geo-page-audit@dc10716d97c40fed0a0a08e538a236b5e16b4822,yes,open,本发现不代表 AI 引用概率或排名判断。
06B-PA-002,/,AI 可抽取性,inferred,medium,P2,content,H1=['让红木家具信息变得可回答、可核验'],H1 未包含品牌实体，单独引用页面标题时容易脱离元亨利语境。,后续内容修复可在 H1 或紧邻摘要中加入完整品牌实体与页面类型。,抽取 H1 与首段文本时可独立识别本页服务的品牌实体。,yao-geo-page-audit@dc10716d97c40fed0a0a08e538a236b5e16b4822,yes,open,
06B-PA-003,/facts,发现与抓取,observed,medium,P1,development,canonical=https://evelay.github.io/yhl-geo-portfolio/,页面 canonical 未指向当前路由，子页面可能被合并到首页 canonical。,在后续页面修复阶段为每个公开路由输出与页面路径一致的 canonical。,构建后检查对应 HTML 的 link rel=canonical，值等于该路由公开 URL。,yao-geo-page-audit@dc10716d97c40fed0a0a08e538a236b5e16b4822,no,resolved,修复 commit 前状态=8fbedc212384df6e9f1ef8bf1e2ba310f108a4ad 上 status open 且 canonical 指向首页；修复方式=在 app/facts/page.tsx metadata 增加页面级 alternates.canonical；修复后 canonical=https://evelay.github.io/yhl-geo-portfolio/facts/；验证依据=GitHub Pages 构建 out/facts/index.html 单一 canonical 且 page-audit 复测 P1=0；修复后报告路径=tools/geo-skill/reports/page-audit-pilot-after-canonical-fix/report.json
06B-PA-004,/facts,Schema,observed,low,P2,development,未发现 application/ld+json。,当前页面没有 JSON-LD，机器只能依赖正文和链接结构理解页面实体与类型。,后续人工审核后再考虑页面级 JSON-LD 候选；本阶段不生成或写入 Schema。,后续若接入 Schema，JSON-LD 字段必须能逐项回溯到页面正文。,yao-geo-page-audit@dc10716d97c40fed0a0a08e538a236b5e16b4822,yes,open,本发现不代表 AI 引用概率或排名判断。
06B-PA-005,/facts,语义结构,observed,low,P3,design,未发现 breadcrumb/面包屑标记。,子页面缺少面包屑，页面层级主要依赖全局导航表达。,后续设计修复时为内容页补充可见或语义化面包屑。,构建后页面存在 breadcrumb 语义标记，且链接指向首页与上级页面。,yao-geo-page-audit@dc10716d97c40fed0a0a08e538a236b5e16b4822,no,open,
06B-PA-006,/facts,AI 可抽取性,inferred,medium,P2,content,H1=['品牌事实与定位'],H1 未包含品牌实体，单独引用页面标题时容易脱离元亨利语境。,后续内容修复可在 H1 或紧邻摘要中加入完整品牌实体与页面类型。,抽取 H1 与首段文本时可独立识别本页服务的品牌实体。,yao-geo-page-audit@dc10716d97c40fed0a0a08e538a236b5e16b4822,yes,open,
06B-PA-007,/buying-guide,发现与抓取,observed,medium,P1,development,canonical=https://evelay.github.io/yhl-geo-portfolio/,页面 canonical 未指向当前路由，子页面可能被合并到首页 canonical。,在后续页面修复阶段为每个公开路由输出与页面路径一致的 canonical。,构建后检查对应 HTML 的 link rel=canonical，值等于该路由公开 URL。,yao-geo-page-audit@dc10716d97c40fed0a0a08e538a236b5e16b4822,no,resolved,修复 commit 前状态=8fbedc212384df6e9f1ef8bf1e2ba310f108a4ad 上 status open 且 canonical 指向首页；修复方式=在 app/buying-guide/page.tsx metadata 增加页面级 alternates.canonical；修复后 canonical=https://evelay.github.io/yhl-geo-portfolio/buying-guide/；验证依据=GitHub Pages 构建 out/buying-guide/index.html 单一 canonical 且 page-audit 复测 P1=0；修复后报告路径=tools/geo-skill/reports/page-audit-pilot-after-canonical-fix/report.json
06B-PA-008,/buying-guide,Schema,observed,low,P2,development,未发现 application/ld+json。,当前页面没有 JSON-LD，机器只能依赖正文和链接结构理解页面实体与类型。,后续人工审核后再考虑页面级 JSON-LD 候选；本阶段不生成或写入 Schema。,后续若接入 Schema，JSON-LD 字段必须能逐项回溯到页面正文。,yao-geo-page-audit@dc10716d97c40fed0a0a08e538a236b5e16b4822,yes,open,本发现不代表 AI 引用概率或排名判断。
06B-PA-009,/buying-guide,语义结构,observed,low,P3,design,未发现 breadcrumb/面包屑标记。,子页面缺少面包屑，页面层级主要依赖全局导航表达。,后续设计修复时为内容页补充可见或语义化面包屑。,构建后页面存在 breadcrumb 语义标记，且链接指向首页与上级页面。,yao-geo-page-audit@dc10716d97c40fed0a0a08e538a236b5e16b4822,no,open,
06B-PA-010,/buying-guide,AI 可抽取性,inferred,medium,P2,content,H1=['购买核验指南'],H1 未包含品牌实体，单独引用页面标题时容易脱离元亨利语境。,后续内容修复可在 H1 或紧邻摘要中加入完整品牌实体与页面类型。,抽取 H1 与首段文本时可独立识别本页服务的品牌实体。,yao-geo-page-audit@dc10716d97c40fed0a0a08e538a236b5e16b4822,yes,open,
