scope_id,schema_type,target_route,entity_or_relation_ids,decision,decision_reason,required_evidence,page_dependency,allowed_in_07b,requires_human_review,status,notes
SCOPE-07A2-001,BreadcrumbList,/,route:/,draft-allowed,只反映真实导航层级且不表达品牌事实,确认首页为 breadcrumb 根节点,route_exists,yes,yes,approved-for-draft,07B 可将首页作为 breadcrumb 根节点使用但不得自动注入页面
SCOPE-07A2-002,BreadcrumbList,/facts,route:/facts,draft-allowed,只反映真实导航层级且不表达品牌事实,确认 /facts 路由和页面导航一致,route_exists_and_nav_matches,yes,yes,approved-for-draft,07B 可在隔离目录创建 /facts BreadcrumbList 草稿
SCOPE-07A2-003,BreadcrumbList,/buying-guide,route:/buying-guide,draft-allowed,只反映真实导航层级且不表达品牌事实,确认 /buying-guide 路由和页面导航一致,route_exists_and_nav_matches,yes,yes,approved-for-draft,07B 可在隔离目录创建 /buying-guide BreadcrumbList 草稿
SCOPE-07A2-004,Brand,site-wide,brand:yuanhengli,hold,品牌实体不得自动等同企业主体,直接公开证据支持品牌主体和关系,current_identity_evidence_insufficient,no,yes,pending-evidence,保持独立候选实体且不进入 Brand Schema
SCOPE-07A2-005,Organization,site-wide,organization:beijing-yuanhengli-hardwood-furniture,hold,Organization Schema 当前 defer 且品牌企业主体关系未确认,直接公开证据支持法律主体与品牌关系,current_identity_evidence_insufficient,no,yes,pending-evidence,保持企业主体候选且不进入 Organization Schema
SCOPE-07A2-006,Organization,site-wide,organization:china-furniture-association|organization:people-cn|organization:beijing-furniture-trade-association|organization:wood-industry-research-institute|organization:national-museum-of-china,hold,来源组织只可作为引用或背景主体且 Organization Schema 当前 defer,重新开放 Organization Schema 的人工决定和页面依赖,current_stage_deferred,no,yes,pending-evidence,不得把来源组织扩写为品牌背书或品牌主体
SCOPE-07A2-007,Person,site-wide,none,reject,当前没有安全作者身份专家资质人物关系或责任主体证据,重新开放阶段需补采公开人物证据和页面责任主体,page_and_identity_evidence_absent,no,yes,excluded,Person Schema 为 reject-for-current-stage
SCOPE-07A2-008,FAQPage,published-faq-page,intent:*|REL-07A-0030,page-dependent,FAQ 只有公开页面真实显示且发布审核通过后才可映射,公开页面可见问答 publish decision 有效 source_id 且无 pending L3 prohibited internal-only,faq_page_must_match_body,no,yes,pending-page-review,本阶段只做 eligibility 分类不生成 FAQ JSON-LD
SCOPE-07A2-009,Article,published-article-page,material:redwood|REL-07A-0010|REL-07A-0011,page-dependent,Article 只有公开页面正文和元数据均可确认后才可映射,公开页面 H1 headline 日期责任主体和引用来源,article_page_must_pass_publication_review,no,yes,pending-page-review,材料和标准关系只可作为文章教育主题
SCOPE-07A2-010,BoundaryRule,content-governance,boundary:*,governance-only,BoundaryRule 是内部事实治理和内容审核规则,治理规则本身不作为生产 Schema 事实,not_a_schema_fact,no,no,excluded,可用于内容审核 Prompt 限制和页面免责声明
SCOPE-07A2-011,QuestionIntent,research,intent:*,reject,QuestionIntent 只用于问题库内容映射 AI 测试和 FAQ 规划,不作为品牌实体 Schema 事实或关系,not_a_schema_fact,no,no,excluded,处理为 research-only
SCOPE-07A2-012,Product,site-wide,material:*|category:redwood-furniture,reject,材料主题不得泛化为产品事实或全部材质,单件产品证书检测合同发票和页面审核,current_stage_forbids_product_material_claims,no,yes,excluded,不得进入 Organization Schema 的产品字段
SCOPE-07A2-013,Offer,site-wide,material:*|category:redwood-furniture,reject,不得表达价格库存交易售后或投资回报,单件报价合同交付售后和动态日期证据,current_stage_forbids_offer_claims,no,yes,excluded,不得生成 Offer Review 或 AggregateRating
SCOPE-07A2-014,Relationship,content-research,topic:jingzuo-unresolved|REL-07A-0036,hold,京作关系缺少直接公开 evidence_id,直接公开证据支持品牌与京作关系,current_evidence_gap,no,yes,pending-evidence,只可作为内容主题待核验工艺关联和页面研究议题
SCOPE-07A2-015,Relationship,content-education,style:ming-style-furniture|style:qing-style-furniture|REL-07A-0024|REL-07A-0025,reject,明式清式不得写成具体年代文物年代或产品真实性证明,若作为文章主题需公开页面和来源证据,date_or_authenticity_claim_forbidden,no,yes,excluded,只保留为 FurnitureStyle ContentTopic 和教育概念
