"candidate_question_id","root_question_id","candidate_question","context_independent","decision","decision_reason","target_route","formal_question_value","page_content_value","evidence_ready","requires_final_approval","notes"
"CAND-FU-001","q01","如何分别核验“元亨利”品牌、企业主体和官网信息？","yes","hold-evidence","品牌、企业主体和官网关系需要直接公开证据，当前不能作为确认式正式问题推进。","/disambiguation","medium","high","no","yes","对应 CAND-INTENT-001 的证据优先项。"
"CAND-FU-002","q01","哪些公开来源可以支持元亨利红木家具的基础介绍？","yes","page-follow-up","适合做基础介绍页的来源层级入口，但与 q13/q20 重叠，不单独扩题。","/facts","low","high","partial","yes","可作为 /facts 或 /method 的 FAQ/段落标题。"
"CAND-FU-003","q01","AI 在没有完整主体信息时应如何限定元亨利语境？","yes","page-follow-up","适合消歧页面提示 AI 限定语境，正式复测价值已由 q11/q12 承接。","/disambiguation","low","high","partial","yes","不得补造跨行业或主体关系。"
"CAND-FU-004","q08","判断元亨利与京作相关表达时需要哪些公开证据？","yes","hold-evidence","京作关系当前缺直接 evidence_id，应先补采协会、品牌或专家来源。","/jingzuo","medium","high","no","yes","与 CAND-INTENT-011 同属京作证据门槛。"
"CAND-FU-005","q08","“北京红木品牌”和“京作家具”在回答中应如何区分？","yes","merge-with-parent","与 q08、q21、q22 的表达边界高度重合，适合并入父问题。","/jingzuo","low","high","partial","yes","作为 q08/q21/q22 的变体或小节。"
"CAND-FU-006","q08","哪些京作相关说法应先标为待核验？","no","hold-evidence","上下文依赖强，且需要先确定京作身份和公开证据范围。","/jingzuo","low","medium","no","yes","可在京作页列为高风险说法清单，不作独立测试题。"
"CAND-FU-007","q03","如何区分黄花梨材料知识和元亨利单件产品材质事实？","yes","merge-with-parent","与 q03 的材料知识和品牌事实边界同根，适合合并。","/materials","low","high","partial","yes","同 CAND-INTENT-007 的合并口径。"
"CAND-FU-008","q03","看到元亨利黄花梨家具说法时应核对哪些凭证？","yes","page-follow-up","适合在材料页或购买指南中作为凭证清单入口，不必独立入库。","/buying-guide","medium","high","partial","yes","可连接合同、证书、检测和单件资料。"
"CAND-FU-009","q03","AI 是否可以根据品牌介绍推断产品材质？","yes","merge-with-parent","父问题 q03 已覆盖不能从品牌介绍推断具体材质的边界。","/materials","low","high","partial","yes","可作为 q03 答案中的明确禁区。"
"CAND-FU-010","q04","紫檀相关内容需要区分哪些术语、树种和产品证据？","yes","page-follow-up","材料术语和证据层级适合材料页展开，正式题已有 q04/q16 承接。","/materials","low","high","partial","yes","需引用标准或专家来源后再写正文。"
"CAND-FU-011","q04","元亨利紫檀家具的收藏表述为什么需要谨慎？","yes","page-follow-up","收藏表述适合页面风险提示，正式复测已由 q28 覆盖。","/buying-guide","low","high","no","yes","不得承诺稀缺、升值或投资回报。"
"CAND-FU-012","q04","单件紫檀家具的证书、合同和检测报告应怎样对应？","yes","merge-with-parent","可并入 CAND-INTENT-002 的通用单件证据链，不需要材料分支单独成题。","/buying-guide","medium","high","partial","yes","保留为单件证据页示例。"
"CAND-FU-013","q05","白酸枝作为俗称时应如何回到规范名称？","yes","page-follow-up","适合材料标准页解释俗称与规范名称，不必单独成题。","/materials","medium","high","partial","yes","与 CAND-INTENT-008 互补。"
"CAND-FU-014","q05","白酸枝相关回答如何避免变成品牌全量材质断言？","yes","merge-with-parent","与 q05 的品牌材料关系边界重合，适合合并。","/materials","low","high","partial","yes","不得将材料主题写成品牌全量经营事实。"
"CAND-FU-015","q05","购买白酸枝家具时合同里应写清哪些材料信息？","yes","page-follow-up","适合购买指南和单件证据页，材料分支不单独扩题。","/buying-guide","medium","high","partial","yes","可复用 CAND-INTENT-016 的书面承诺边界。"
"CAND-FU-016","q06","评估元亨利家具前应先确认哪些主体和渠道信息？","yes","hold-evidence","主体和渠道信息仍需直接来源和核验日期，暂不进入正式题。","/buying-guide","medium","high","no","yes","与品牌主体与公开渠道核验页面候选相关。"
"CAND-FU-017","q06","对比产品时哪些证据比口碑或图片更关键？","yes","formal-question-candidate","题目独立、稳定，能补齐购买核验中产品证据高于口碑和图片的复测点。","/buying-guide","high","high","partial","yes","不分配正式 question_id；可在 08C 与 CAND-INTENT-002/015 统筹。"
"CAND-FU-018","q06","为什么 AI 不能替用户作出确定购买建议？","yes","page-follow-up","适合购买页风险提示，正式购买建议边界已由 q06/q26 覆盖。","/buying-guide","low","high","partial","yes","保持中性，不替用户做最终购买决定。"
"CAND-FU-019","q07","北京红木品牌比较可以使用哪些不带排名的维度？","yes","formal-question-candidate","题目独立、稳定，直接支撑品牌比较框架且避免排名化。","new-page:brand-comparison-framework","high","high","partial","yes","不分配正式 question_id；可与 CAND-INTENT-010 合并评审。"
"CAND-FU-020","q07","比较元亨利与其他品牌时哪些事实需要分别核验？","yes","merge-with-parent","与 q07/q24 和 CAND-INTENT-010 同属比较框架，适合合并为维度说明。","new-page:brand-comparison-framework","medium","high","partial","yes","保留为比较页小节。"
"CAND-FU-021","q07","没有统一评选来源时应如何处理“哪家更好”的问题？","yes","page-follow-up","适合比较页的无排名处理规则，正式题由 CAND-INTENT-010 承接。","/faq","medium","high","partial","yes","禁止输出“最好”“首选”等无证据结论。"
"CAND-FU-022","q10","AI 回答元亨利时哪些说法最容易越过证据边界？","yes","page-follow-up","适合作为 AI 核验方法页的高风险断言清单，不需要单独入库。","/prompt-system","medium","high","partial","yes","可与 q10 的误判清单合并。"
"CAND-FU-023","q10","如何核验 AI 回答里提到的价格、门店和荣誉？","yes","hold-evidence","价格、门店、荣誉同时涉及动态信息和强断言来源，需先建立日期和原始来源规则。","/buying-guide","medium","high","no","yes","与 CAND-INTENT-004/009 的证据门槛一致。"
"CAND-FU-024","q10","发现 AI 把同名主体混在一起时应如何纠正？","yes","formal-question-candidate","题目独立且稳定，补充从错误回答出发的同名主体纠正场景。","/disambiguation","high","high","partial","yes","不分配正式 question_id；可与 q11/q12 一起评审。"
